item_id,condition,prompt_hash,prompt,raw_response_manual
fixed_q001,raw,16329fef37c67932,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?
",
fixed_q001,rule_only,538c9fc7337913fb,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the mechanism, not on the modern name.
",
fixed_q001,length_controlled,6fa1fde11fee9e05,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral plain general
",
fixed_q001,proposed,04907a0b5f1e20c8,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the functional reason in ordinary terms.
",
fixed_q001,proposed_no_validator,04907a0b5f1e20c8,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the functional reason in ordinary terms.
",
fixed_q002,raw,da22b78ec4ae8e28,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might GPU acceleration be useful for training a large pattern-learning calculator?
",
fixed_q002,rule_only,c1d214401566fdb2,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the mechanism, not on the modern name.
",
fixed_q002,length_controlled,9b9cb37b49e075bf,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for training a large pattern-learning calculator? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral
",
fixed_q002,proposed,2274bcbe9da89dcf,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the functional reason in ordinary terms.
",
fixed_q002,proposed_no_validator,2274bcbe9da89dcf,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the functional reason in ordinary terms.
",
fixed_q003,raw,a1da111581b5e0fd,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might API be useful for letting two software services cooperate?
",
fixed_q003,rule_only,78ec14562736f0d0,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that offers a published set of commands that one machine can use to request work from another. Why might this method be useful for letting two software services cooperate? Focus on the mechanism, not on the modern name.
",
fixed_q003,length_controlled,28983d44b86dd0c2,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for letting two software services cooperate? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral plain general ordinary brief careful neutral plain
",
fixed_q003,proposed,cc976ae83e789f50,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that offers a published set of commands that one machine can use to request work from another. Why might this method be useful for letting two software services cooperate? Focus on the functional reason in ordinary terms.
",
fixed_q003,proposed_no_validator,cc976ae83e789f50,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that offers a published set of commands that one machine can use to request work from another. Why might this method be useful for letting two software services cooperate? Focus on the functional reason in ordinary terms.
",
fixed_q004,raw,9b9fba7a8edc0cb0,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might database index be useful for finding records in a huge table?
",
fixed_q004,rule_only,f0ceed6ad3f7daf7,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that keeps a smaller ordered guide to where records are stored. Why might this method be useful for finding records in a huge table? Focus on the mechanism, not on the modern name.
",
fixed_q004,length_controlled,cb107fe019648678,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for finding records in a huge table? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral plain
",
fixed_q004,proposed,a12b4934d8414377,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that keeps a smaller ordered guide to where records are stored. Why might this method be useful for finding records in a huge table? Focus on the functional reason in ordinary terms.
",
fixed_q004,proposed_no_validator,a12b4934d8414377,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that keeps a smaller ordered guide to where records are stored. Why might this method be useful for finding records in a huge table? Focus on the functional reason in ordinary terms.
",
fixed_q005,raw,fa8aabeb5d2873d0,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might cloud computing be useful for handling sudden demand for computation?
",
fixed_q005,rule_only,e5162f995be5746a,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that rents distant computing machines as needed. Why might this method be useful for handling sudden demand for computation? Focus on the mechanism, not on the modern name.
",
fixed_q005,length_controlled,e9051cf2f1e7dcca,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for handling sudden demand for computation? Focus on the practical mechanism. neutral plain general ordinary
",
fixed_q005,proposed,63f16c3d58390ae0,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that rents distant computing machines as needed. Why might this method be useful for handling sudden demand for computation? Focus on the functional reason in ordinary terms.
",
fixed_q005,proposed_no_validator,63f16c3d58390ae0,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that rents distant computing machines as needed. Why might this method be useful for handling sudden demand for computation? Focus on the functional reason in ordinary terms.
",
fixed_q006,raw,10a3772b0bcf9c59,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might search engine be useful for finding useful pages in a vast electronic library?
",
fixed_q006,rule_only,1ba89a65e5612584,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that matches a query against a large catalog and ranks likely useful records. Why might this method be useful for finding useful pages in a vast electronic library? Focus on the mechanism, not on the modern name.
",
fixed_q006,length_controlled,1fd82c763b6d56bb,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for finding useful pages in a vast electronic library? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral plain general ordinary
",
fixed_q006,proposed,335c04b2b7819749,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that matches a query against a large catalog and ranks likely useful records. Why might this method be useful for finding useful pages in a vast electronic library? Focus on the functional reason in ordinary terms.
",
fixed_q006,proposed_no_validator,335c04b2b7819749,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that matches a query against a large catalog and ranks likely useful records. Why might this method be useful for finding useful pages in a vast electronic library? Focus on the functional reason in ordinary terms.
",
fixed_q007,raw,ed5afae7a54b6f3f,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might encryption be useful for protecting a private message sent across a public network?
",
fixed_q007,rule_only,ce8baebbbe876f8d,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that transforms a message into a form readable only with a secret key. Why might this method be useful for protecting a private message sent across a public network? Focus on the mechanism, not on the modern name.
",
fixed_q007,length_controlled,c3159447141f6522,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for protecting a private message sent across a public network? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral plain general ordinary
",
fixed_q007,proposed,3556a460e55c6c30,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that transforms a message into a form readable only with a secret key. Why might this method be useful for protecting a private message sent across a public network? Focus on the functional reason in ordinary terms.
",
fixed_q007,proposed_no_validator,3556a460e55c6c30,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that transforms a message into a form readable only with a secret key. Why might this method be useful for protecting a private message sent across a public network? Focus on the functional reason in ordinary terms.
",
fixed_q008,raw,17fe36e182152e1d,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might machine learning be useful for improving predictions from examples?
",
fixed_q008,rule_only,03e7d2694acdcd71,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that adjusts its rules after seeing many labelled cases. Why might this method be useful for improving predictions from examples? Focus on the mechanism, not on the modern name.
",
fixed_q008,length_controlled,e29ea47a1730496d,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for improving predictions from examples? Focus on the practical mechanism. neutral plain general ordinary brief careful
",
fixed_q008,proposed,90f54d0bc6f5f97b,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that adjusts its rules after seeing many labelled cases. Why might this method be useful for improving predictions from examples? Focus on the functional reason in ordinary terms.
",
fixed_q008,proposed_no_validator,90f54d0bc6f5f97b,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that adjusts its rules after seeing many labelled cases. Why might this method be useful for improving predictions from examples? Focus on the functional reason in ordinary terms.
",
fixed_q009,raw,208d385584b3d196,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might neural network be useful for recognizing complex patterns in data?
",
fixed_q009,rule_only,0936c72572304efb,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that connects many simple adjustable units in layers. Why might this method be useful for recognizing complex patterns in data? Focus on the mechanism, not on the modern name.
",
fixed_q009,length_controlled,a71cb3dc37ed565a,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for recognizing complex patterns in data? Focus on the practical mechanism. neutral plain general ordinary brief
",
fixed_q009,proposed,27bdf51a9d411d59,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that connects many simple adjustable units in layers. Why might this method be useful for recognizing complex patterns in data? Focus on the functional reason in ordinary terms.
",
